rank,year,airport,code,location,country,total_passengers,address,latitude,longitude,lat_lng
1,2010,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,89331622,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2010,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,73948113,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2010,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,66774738,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
4,2010,London Heathrow Airport,LHR/EGLL,"Hillingdon, Greater London, England",United Kingdom,65884143,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
5,2010,Tokyo International Airport,HND/RJTT,"Ota, Tokyo",Japan,64211074,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
6,2010,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,59070127,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
7,2010,Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Val d'Oise, Île-de-France",France,58167062,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
8,2010,Dallas-Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,56906610,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
9,2010,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,53009221,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
10,2010,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,52209377,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",39.8560963,-104.6737376,"[39.8560963, -104.6737376]"
11,2010,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,50348960,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
12,2010,Madrid-Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,49844596,"Madrid-Barajas Adolfo Suárez Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",40.4983322,-3.5675982,"[40.4983322, -3.5675982]"
13,2010,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,47180628,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
14,2010,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York, New York",United States,46514154,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
15,2010,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",Netherlands,45211749,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
16,2010,Soekarno-Hatta International Airport,CGK/WIII,"Cengkareng, Jakarta, Java",Indonesia,44355998,"Soekarno-Hatta International Airport (CGK), Kota Tangerang, Banten 19120, Indonesia",-6.1275282,106.6537058,"[-6.1275282, 106.6537058]"
17,2010,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,42784967,"Suvarnabhumi Airport (BKK), 999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",13.6899991,100.7501124,"[13.6899991, 100.7501124]"
18,2010,Singapore Changi Airport,SIN/WSSS,Changi,Singapore,42038777,"Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"[1.3644202, 103.9915308]"
19,2010,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,40975673,"Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",23.3959079,113.3079699,"[23.3959079, 113.3079699]"
20,2010,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,40578621,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
21,2010,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,40479569,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",29.9902199,-95.3367827,"[29.9902199, -95.3367827]"
22,2010,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,39757359,"McCarran International Airport (LAS), 5757 Wayne Newton Blvd, Las Vegas, NV 89119, USA",36.0839998,-115.1537389,"[36.0839998, -115.1537389]"
23,2010,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,39253999,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554,"[37.6213129, -122.3789554]"
24,2010,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,38554215,"Phoenix Sky Harbor International Airport (PHX), 3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",33.4372686,-112.0077881,"[33.4372686, -112.0077881]"
25,2010,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,38254207,"Charlotte Douglas International Airport (CLT), 5501 Josh Birmingham Pkwy, Charlotte, NC 28208, USA",35.2144026,-80.9473146,"[35.2144026, -80.9473146]"
26,2010,Leonardo da Vinci Airport,FCO/LIRF,"Fiumicino, Rome",Italy,36227778,"Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 00054 Fiumicino RM, Italy",41.7998868,12.2462384,"[41.7998868, 12.2462384]"
27,2010,Sydney Airport,SYD/YSSY,"Sydney, New South Wales",Australia,35991917,"Sydney Airport (SYD), Sydney NSW 2020, Australia",-33.9399228,151.1752764,"[-33.9399228, 151.1752764]"
28,2010,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,35698025,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
29,2010,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,34877899,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
30,2010,Munich Airport,MUC/EDDM,"Munich, Bavaria",Germany,34721605,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
31,2010,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,34087636,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
32,2010,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,33815906,"Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba 282-0004, Japan",35.7719867,140.3928501,"[35.7719867, 140.3928501]"
33,2010,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,33605579,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
34,2010,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,33133852,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
35,2010,Minneapolis-Saint Paul International Airport,MSP/KMSP,"Fort Snelling, Minnesota",United States,32749649,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
36,2010,Detroit Metropolitan Wayne County Airport,DTW/KDTW,"Detroit, Michigan",United States,32377064,"Detroit Metropolitan Wayne County Airport (DTW), Detroit, MI 48242, USA",42.2161722,-83.3553842,"[42.2161722, -83.3553842]"
37,2010,Atat rk International Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey,32165817,not found,not found,not found,"['not found', 'not found']"
38,2010,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,31937895,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
39,2010,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,31553166,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
40,2010,London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex, England",United Kingdom,31378644,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
41,2010,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,31298812,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
42,2010,Philadelphia International Airport,PHL/KPHI,"Philadelphia, Pennsylvania",United States,30775271,"Philadelphia International Airport (PHL), 8000 Essington Ave, Philadelphia, PA 19153, USA",39.8743959,-75.2424229,"[39.8743959, -75.2424229]"
43,2010,Barcelona Airport,BCN/LEBL,"Barcelona, Catalonia",Spain,29197135,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
44,2010,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,28531607,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
45,2010,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,28137797,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",19.0895595,72.8656144,"[19.0895595, 72.8656144]"
46,2010,Melbourne Airport,MEL/YMML,"Melbourne, Victoria",Australia,27731252,"Orlando Melbourne International Airport (MLB), 1 Air Terminal Pkwy, Melbourne, FL 32901, USA",28.1012659,-80.645078,"[28.1012659, -80.645078]"
47,2010,S o Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil,27432346,"Sao Paulo International Airport (GRU) - Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brazil",-23.4305731,-46.473043,"[-23.4305731, -46.473043]"
48,2010,Logan International Airport,BOS/KBOS,"Boston, Massachusetts",United States,27429152,"Boston Logan International Airport (BOS), 1 Harborside Dr, Boston, MA 02128, USA",42.3656132,-71.0095602,"[42.3656132, -71.0095602]"
49,2010,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,27148724,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,"[14.5122739, 121.016508]"
50,2010,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,26713610,"Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",22.636828,113.814606,"[22.636828, 113.814606]"
